age,workclass,education-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,salary,capital_net,has_capital_activity
52,Private,2,Married,Skilled-Manual,Spouse,White,Male,40,Non-US,<=50K,0,0
26,Private,9,Previously-Married,Skilled-Manual,Child,White,Male,40,Non-US,<=50K,0,0
33,Private,14,Married,Professional,Spouse,White,Male,50,US,<=50K,0,0
45,Government,14,Previously-Married,Professional,Other,White,Female,42,US,<=50K,0,0
18,Private,7,Single,Office-Service,Child,White,Male,15,US,<=50K,0,0
43,Self-employed,10,Married,Skilled-Manual,Spouse,White,Male,60,US,>50K,0,0
64,Self-employed,16,Married,Professional,Spouse,White,Male,50,Non-US,>50K,15024,1
18,Private,9,Single,Skilled-Manual,Child,White,Male,20,US,<=50K,0,0
20,,10,Single,,Child,White,Male,45,US,<=50K,0,0
57,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,>50K,0,0
41,Private,9,Previously-Married,Office-Service,Other,White,Female,42,US,<=50K,3674,1
34,Private,14,Married,Professional,Spouse,White,Male,50,US,>50K,-1887,1
19,Private,9,Single,Office-Service,Other,White,Female,40,US,<=50K,0,0
44,Private,5,Previously-Married,Office-Service,Other,White,Female,55,Non-US,<=50K,0,0
56,Private,6,Previously-Married,Office-Service,Other,White,Female,40,US,<=50K,0,0
36,Self-employed,9,Married,Skilled-Manual,Spouse,White,Male,80,US,<=50K,0,0
48,Private,13,Previously-Married,Professional,Other,White,Female,48,US,<=50K,0,0
29,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,>50K,0,0
33,Private,13,Single,Skilled-Manual,Other,White,Male,40,US,<=50K,2174,1
31,Private,3,Married,Office-Service,Spouse,White,Male,40,Non-US,<=50K,0,0
39,Private,14,Married,Professional,Spouse,White,Male,45,US,>50K,0,0
66,Private,9,Married,Professional,Spouse,White,Male,40,US,>50K,10605,1
27,Private,13,Single,Professional,Other,White,Female,50,US,>50K,0,0
39,Private,9,Previously-Married,Professional,Other,Black,Female,40,US,>50K,99999,1
59,Private,4,Married,Skilled-Manual,Spouse,White,Male,50,US,>50K,5178,1
26,Private,9,Single,Office-Service,Child,White,Female,40,US,<=50K,0,0
31,Private,11,Previously-Married,Skilled-Manual,Other,White,Male,40,US,<=50K,0,0
45,,9,Previously-Married,,Other,White,Female,40,Non-US,<=50K,0,0
23,Private,9,Single,Skilled-Manual,Child,White,Male,30,US,<=50K,0,0
